id,feedback
1,"The product quality is excellent and exactly as described, but the delivery took almost 10 days which was frustrating."
2,"Customer support responded quickly and solved my issue within minutes. Very satisfied with the service."
3,"The website checkout process is confusing and I had to restart the payment twice before it worked."
4,"Delivery was fast and the packaging was secure, but the product arrived with a small cosmetic scratch."
5,"The pricing is reasonable compared to competitors, but there are not enough customization options."
6,"The mobile app crashes occasionally when I try to upload images which makes it difficult to use."
7,"I really like the design and usability of the platform, everything feels intuitive and modern."
8,"The onboarding tutorial was not very helpful and I struggled to understand how to use the main features."
9,"Customer support took more than 48 hours to reply which delayed our business workflow."
10,"The analytics dashboard provides useful insights, but exporting reports to CSV takes too long."
11,"The product works well overall, but the documentation is outdated and missing several important steps."
12,"Notifications in the mobile app are delayed which causes me to miss important updates."